cells,samples,cell.types,treatment.group,Cohort,no.of.genes,no.of.reads,genes_detected_counts,n_counts
MGH00478_CD45pos_2_S291,Mel478,T.CD4,treatment.naive,New,2942,480130,2793,4588.690977227847
MGH00478_CD45pos_1_S197,Mel478,T.CD4,treatment.naive,New,4207,690359,4038,7451.474428948381
cy72_CD45_pos_D01_S901_comb,Mel72,T.CD8,post.treatment,Tirosh,3738,120083,3525,9444.000006980586
cy98_CD45pos_2_S352,Mel98,T.CD8,post.treatment,New,4117,717815,3931,8292.790914970805
CY75_1FNA_F07_S547_comb_1,Mel75,T.cell,post.treatment,Tirosh,2897,45278,2657,9180.587052124181
CY94CD45POS_1_H02_S182_comb,Mel94,T.CD4,post.treatment,Tirosh,4253,246735,4052,8198.5127603897
Merck_CD45pos_pl4_S57,Mel194,T.CD8,post.treatment,New,4603,755268,4457,9797.147319947337
CY75_1FNA_H03_S567_comb,Mel75,T.CD8,post.treatment,Tirosh,2965,49542,2748,9207.20114499885
cy80_CD_90_pos_B04_S880_comb,Mel80,CAF,treatment.naive,Tirosh,8167,137997,8045,19316.615418106026
cy98_CD45pos_CD8pos_S21,Mel98,T.CD8,post.treatment,New,5228,359803,5052,11771.073421053223
Cy74_CD45_F06_S450_comb,Mel74,T.CD8,post.treatment,Tirosh,3011,126024,2802,8863.483662408591
cy98_CD45pos_CD8pos_S70,Mel98,T.CD8,post.treatment,New,4886,368721,4724,9995.085163322532
cy103_CD45pos_S225,Mel103,B.cell,treatment.naive,New,4872,837709,4731,8995.297287234214
CY88CD45POS_7_H03_S279_comb,Mel88,T.CD8,post.treatment,Tirosh,6093,493362,5959,14036.147473675715
cy126_CD45pos_2_S123,Mel126,T.CD8,post.treatment,New,5008,527161,4834,10327.309522800388
Cy81_FNA_CD45_A09_S201_comb,Mel81,T.CD8,treatment.naive,Tirosh,2851,205703,2639,6303.168811110083
Merck_CD45pos_pl4_S38,Mel194,T.CD8,post.treatment,New,4605,796532,4475,9151.016626695713
cy112_CD45pos_S64,Mel112,B.cell,treatment.naive,New,3640,1326027,3507,5361.804354823498
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_C10_S994_comb,Mel60,T.CD8,post.treatment,Tirosh,2180,49753,2023,7240.803420742709
cy102_CD45pos_S197,Mel102,T.cell,post.treatment,New,3951,91795,3730,8894.61087153456
Cy80_II_CD45_C03_S891_comb,Mel80,Endo.,treatment.naive,Tirosh,4165,150267,3968,11097.09003719112
cy94_cd45pos_4_H10_S94_comb,Mel94,T.cell,post.treatment,Tirosh,5104,882862,4943,9223.172596530203
MGH00478_CD45pos_1_S286,Mel478,T.CD8,treatment.naive,New,3823,479727,3631,7341.101834019121
cy129PB_CD45pos_S229,Mel129pb,T.CD8,treatment.naive,New,2178,17862,2070,8347.099484214694
cy80_Cd45_pos_Pd1_neg_S341_G05_S341_comb,Mel80,B.cell,treatment.naive,Tirosh,6264,57940,6066,16101.288654942528
cy60_1_cd_45_pos_3_D06_S330_comb,Mel60,T.CD8,post.treatment,Tirosh,3188,82151,3006,10157.363210394878
cy116_CD45pos_S371,Mel116,Macrophage,treatment.naive,New,5584,538313,5413,11811.718827667926
cy53_1_CD45_pos_2_H12_S1056_comb,Mel53,Macrophage,treatment.naive,Tirosh,7567,44673,7345,17512.119498743778
cy84_Primary_CD45_pos_D02_S422_comb,Mel84,B.cell,treatment.naive,Tirosh,3578,108121,3332,9275.83570601925
cy04.3_CD45pos_S93,Mel04.3,T.CD8,post.treatment,New,4630,792818,4476,8524.946808820445
cy88_cd_45_pos_3_C01_S601_comb,Mel88,T.CD8,post.treatment,Tirosh,3345,141316,3128,8994.375045921592
cy04.3_CD45pos_S58,Mel04.3,B.cell,post.treatment,New,4491,955365,4319,6753.757468843946
cy102_CD45pos_S106,Mel102,Macrophage,post.treatment,New,6512,1097578,6367,12924.815990129538
cy60_1_cd_45_pos_4_B04_S16_comb,Mel60,T.cell,post.treatment,Tirosh,2788,45094,2579,9694.428363706096
cy80_Cd45_pos_Pd1_neg_S370_H10_S370_comb,Mel80,B.cell,treatment.naive,Tirosh,4523,114415,4274,10994.385268251033
cy53_1_CD45_neg_D06_S330_comb,Mel53,?,treatment.naive,Tirosh,1995,53186,1975,7655.344067413242
cy105_CD45pos_calceinpos_S75,Mel105,T.CD8,treatment.naive,New,4428,747244,4277,8702.671630750909
cy98_CD45pos_CD8pos_S10,Mel98,T.CD8,post.treatment,New,5480,286469,5303,12564.694139238549
CY89A_CD45_POS_6_B01_S109_comb,Mel89,T.CD4,treatment.naive,Tirosh,3617,156845,3396,8151.641691584322
cy80_Cd45_pos_Pd1_neg_S247_C07_S247_comb,Mel80,B.cell,treatment.naive,Tirosh,3937,89626,3716,10313.047320532423
cy105_CD45pos_S246,Mel105,T.CD8,treatment.naive,New,4094,328878,3914,8497.628869174105
cy110_CD45pos_S213,Mel110,Macrophage,post.treatment,New,7214,1541963,7067,12160.809599708558
cy105_CD45pos_calceinpos_S31,Mel105,NK,treatment.naive,New,3922,416133,3737,9149.488438482065
cy105_Zombineg_CD45neg_CD90neg_S145,Mel105,Endo.,treatment.naive,New,5651,932328,5491,10631.99638531785
cy79_p4_CD45_pos_PD1_pos_G10_S370_comb,Mel79,T.CD8,treatment.naive,Tirosh,3471,129244,3248,9227.799821456247
cy103_CD45pos_S245,Mel103,T.CD4,treatment.naive,New,3835,139368,3622,10160.823471247253
CY75_1_CD45_CD8_7__S194_comb_BCD8,Mel75,NK,post.treatment,Tirosh,5216,241716,5033,13074.254407703775
cy75_1B_CD45pos_S14,Mel75,T.CD8,post.treatment,New,4055,384742,3888,7794.381575757005
cy94_cd45pos_4_H07_S91_comb,Mel94,T.CD4,post.treatment,Tirosh,4658,236540,4450,11344.696532279566
cy129PA_CD45pos_S83,Mel129pa,T.CD8,treatment.naive,New,4311,811168,4131,8226.034523391609
CY75_1_CD45_CD8_7__S225_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5603,485868,5424,12783.78592769169
cy94_cd45pos_H03_S183_comb,Mel94,T.CD4,post.treatment,Tirosh,5432,478865,5276,10539.96751124295
MGH00478_CD45pos_2_S381,Mel478,B.cell,treatment.naive,New,4182,581810,4006,7710.275746542624
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_H10_S286_comb,Mel79,T.CD8,treatment.naive,Tirosh,2996,40381,2801,9912.779803235391
cy102_CD45pos_S253,Mel102,T.cell,post.treatment,New,3892,680729,3719,6834.7735950882325
cy94_cd45pos_4_A04_S4_comb,Mel94,T.CD8,post.treatment,Tirosh,2822,30028,2648,9826.099767345931
cy105_CD45pos_calceinpos_S37,Mel105,T.CD8,treatment.naive,New,4614,697018,4430,9628.139453172791
cy98_CD45pos_CD8pos_S51,Mel98,T.CD8,post.treatment,New,4515,530742,4354,8554.975097374847
cy80_Cd45_pos_PD1_pos_B11_S47_comb,Mel80,T.cell,treatment.naive,Tirosh,4512,141574,4303,11369.452544220567
cy80_Cd45_pos_PD1_pos_S159_G03_S159_comb,Mel80,NK,treatment.naive,Tirosh,4265,95472,4073,11983.19679680347
CY89A_Core_15_F07_S67_comb,Mel89,T.CD8,treatment.naive,Tirosh,2599,40595,2410,9178.832966750877
cy53_1_CD45_pos_1_G08_S80_comb,Mel53,Macrophage,treatment.naive,Tirosh,5973,393253,5780,12259.280429880335
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_G12_S1044_comb,Mel60,T.cell,post.treatment,Tirosh,2023,58687,1923,7035.043593241156
MGH00478_CD45pos_1_S231,Mel478,T.CD8,treatment.naive,New,4168,689187,3992,7873.453170041845
cy103_CD45pos_S126,Mel103,T.CD8,treatment.naive,New,4509,356593,4320,9937.011367979701
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_H12_S1056_comb,Mel60,T.CD8,post.treatment,Tirosh,3665,139812,3463,11014.650319713799
cy129PA_CD45pos_S111,Mel129pa,?,treatment.naive,New,3490,1544673,3369,9316.010395729229
cy74_CD45_pos_E02_S722_comb,Mel74,T.CD8,post.treatment,Tirosh,3167,67535,3006,9411.34346618719
CY89A_Core_15_G02_S74_comb,Mel89,B.cell,treatment.naive,Tirosh,3314,150453,3092,7471.352968978712
cy112_CD45pos_S359,Mel112,T.CD8,treatment.naive,New,4988,1608516,4879,8493.020733993235
cy75_1B_CORE_CD45neg_S164,Mel75,?,post.treatment,New,7042,1295812,6863,13142.650719691068
CY88CD45_150813_F09_S357_comb,Mel88,T.CD8,post.treatment,Tirosh,6188,571619,6020,13644.741750151345
CY94CD45POS_1_G04_S172_comb,Mel94,T.cell,post.treatment,Tirosh,4486,392887,4311,8757.456626092819
cy98_CD45pos_CD8pos_S8,Mel98,T.CD8,post.treatment,New,3894,748167,3697,7099.181322502987
CY58_1_CD45_F03_S1023_comb,Mel58,T.CD4,post.treatment,Tirosh,3434,157720,3217,8698.288498278402
CY89A_CD45_POS_10_A10_S202_comb,Mel89,T.cell,treatment.naive,Tirosh,2058,19277,1918,7233.130843069997
cy121.1_CD45pos_S370,Mel121.1,T.CD4,post.treatment,New,3900,249108,3677,7946.311947078571
cy82_CD45_pos_1_D06_S522_comb,Mel82,?,treatment.naive,Tirosh,2149,471864,2073,6905.705367887842
cy79_p4_CD45_pos_PD1_pos_F11_S359_comb,Mel79,T.cell,treatment.naive,Tirosh,3747,158526,3511,8752.017456264917
cy98_CD45pos_2_S372,Mel98,T.cell,post.treatment,New,3962,313091,3736,8958.467856344256
cy110_CD45pos_S329,Mel110,Macrophage,post.treatment,New,5449,468947,5256,10480.767851380553
cy79_p1_CD45_pos_PD1_neg_AS_C1_R2_E10_S538_comb,Mel79,T.CD4,treatment.naive,Tirosh,2583,20911,2448,9485.022089373566
cy103_CD45pos_S200,Mel103,B.cell,treatment.naive,New,4181,295954,3998,8268.189153569892
CY89FNA_F03_S255_comb,Mel89,B.cell,treatment.naive,Tirosh,2176,57141,1994,6496.730512569169
CY88CD45_150813_E06_S342_comb,Mel88,T.cell,post.treatment,Tirosh,2839,176792,2624,5465.65145216985
CY75_1_CD45_CD8_7__S223_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4738,196814,4543,11566.550611584793
cy80_Cd45_pos_PD1_pos_B05_S41_comb,Mel80,T.CD8,treatment.naive,Tirosh,4023,105494,3776,10897.448480496081
cy80_CD45_neg_G01_S457_comb,Mel80,T.CD8,treatment.naive,Tirosh,2966,102669,2751,8712.794213407993
CY89FNA_A03_S195_comb,Mel89,T.CD8,treatment.naive,Tirosh,2938,96579,2733,8083.359782804859
cy79_p3_CD45_pos_PD1_pos_AS_C2_R1_A08_S392_comb,Mel79,T.CD8,treatment.naive,Tirosh,2354,55430,2186,7605.7695452600965
cy106_CD45pos_S357,Mel106,T.CD4,post.treatment,New,4859,1275649,4712,8126.907109263048
cy105_CD45pos_calceinpos_S49,Mel105,T.CD8,treatment.naive,New,2843,139546,2661,7872.188730866108
cy84_Primary_CD45_pos_H06_S474_comb,Mel84,B.cell,treatment.naive,Tirosh,5157,345971,4931,10651.450850248195
cy102_CD45pos_S233,Mel102,T.cell,post.treatment,New,4254,341016,4069,8728.923950719201
cy80_CD45_neg_H05_S953_comb,Mel80,?,treatment.naive,Tirosh,3456,12735,3336,12666.562587666165
cy82_CD45_pos_2_G12_S564_comb,Mel82,?,treatment.naive,Tirosh,3326,76896,3194,9216.833820076128
cy53_1_CD45_neg_F09_S357_comb,Mel53,CAF,treatment.naive,Tirosh,2699,171921,2636,9759.377968020595
cy98_CD45pos_2_S339,Mel98,Macrophage,post.treatment,New,5738,839247,5566,11727.529016814839
cy80_CD45_neg_A10_S394_comb,Mel80,?,treatment.naive,Tirosh,7052,208943,6848,15267.06213636706
cy129PA_CD45pos_S86,Mel129pa,T.CD4,treatment.naive,New,3734,591392,3562,6409.61282654665
Cy72_CD45_B06_S690_comb,Mel72,T.cell,post.treatment,Tirosh,3037,152265,2860,7010.464671666972
CY94CD45POS_1_F06_S162_comb,Mel94,T.cell,post.treatment,Tirosh,4169,211012,3913,9069.085348864268
cy94_cd45pos_D12_S144_comb,Mel94,T.cell,post.treatment,Tirosh,5279,597003,5116,9808.520718181477
cy72_CD45_pos_G10_S946_comb,Mel72,T.CD8,post.treatment,Tirosh,2830,53783,2583,8247.615056244838
cy94_cd45pos_H01_S181_comb,Mel94,B.cell,post.treatment,Tirosh,7392,805722,7264,14247.783024079621
Cy74_CD45_F07_S451_comb,Mel74,T.CD8,post.treatment,Tirosh,2994,115090,2810,8347.289142825342
cy80_CD45_neg_A04_S868_comb,Mel80,Endo.,treatment.naive,Tirosh,5125,127315,4922,12722.835035751723
cy98_CD45pos_CD8pos_S82,Mel98,T.CD8,post.treatment,New,5967,374468,5820,13538.32274610218
cy79_p3_CD45_pos_PD1_neg_F09_S165_comb,Mel79,T.CD4,treatment.naive,Tirosh,2426,23198,2283,8205.578876467716
Cy74_CD45_C02_S410_comb,Mel74,T.CD8,post.treatment,Tirosh,3181,164459,2972,8811.109023270554
cy105_CD45pos_calceinpos_S14,Mel105,T.CD4,treatment.naive,New,4456,375909,4268,9422.66183663836
cy94_cd45pos_D10_S142_comb,Mel94,B.cell,post.treatment,Tirosh,7274,350717,7106,15121.63850257185
cy84_Primary_CD45_pos_A06_S390_comb,Mel84,T.CD4,treatment.naive,Tirosh,3140,87684,2903,9191.371112157343
cy80_CD45_pos_PD1_pos_D01_S133_comb,Mel80,T.cell,treatment.naive,Tirosh,3889,95779,3673,10163.475213814563
cy79_p5_CD45_pos_PD1_pos_B02_S590_comb,Mel79,T.CD8,treatment.naive,Tirosh,3179,94332,2974,9046.009065599963
cy110_CD45pos_S209,Mel110,Macrophage,post.treatment,New,7356,1278687,7205,12191.87479957709
CY89COREQ1_E05_S341_comb,Mel89,B.cell,treatment.naive,Tirosh,2965,71319,2756,8056.835401175413
CY75_1_CD45_CD8_7__S205_comb_BCD8,Mel75,T.CD4,post.treatment,Tirosh,6332,478281,6189,13443.382406628643
CY89COREQ1_A04_S292_comb,Mel89,T.CD4,treatment.naive,Tirosh,4049,155264,3822,10290.661352080295
monika_C6_S124_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,5614,991071,5486,10240.003626300528
cy121.1_CD45pos_S198,Mel121.1,T.CD8,post.treatment,New,3613,1227514,3470,5380.922761123843
cy79_p3_CD45_pos_PD1_neg_G09_S177_comb,Mel79,B.cell,treatment.naive,Tirosh,3759,134444,3530,8732.159143503406
cy121.1_CD45pos_S193,Mel121.1,Macrophage,post.treatment,New,6259,2234169,6138,11608.573294406822
cy126_CD45pos_2_S108,Mel126,T.CD8,post.treatment,New,4496,556102,4292,9832.462810059247
cy112_CD45pos_S27,Mel112,B.cell,treatment.naive,New,3398,2183513,3242,4465.489774705082
CY88CD45POS_7_E07_S247_comb,Mel88,T.CD8,post.treatment,Tirosh,4942,396334,4747,10416.359995893441
cy75_1B_CD45pos_S95,Mel75,T.CD8,post.treatment,New,3836,332535,3663,7263.470014249578
cy94_cd45pos_A05_S101_comb,Mel94,T.cell,post.treatment,Tirosh,3371,145922,3161,8246.975174785259
cy58_1_CD45_pos_A05_S581_comb,Mel58,T.CD8,post.treatment,Tirosh,3795,130286,3560,9177.102847142125
Cy71_CD45_D03_S519_comb,Mel71,T.CD8,treatment.naive,Tirosh,2965,127653,2760,7705.631245991817
CY58_1_CD45_B10_S982_comb,Mel58,?,post.treatment,Tirosh,3454,257927,3245,7391.316063982754
cy75_1B_CD45pos_S93,Mel75,NK,post.treatment,New,3927,283617,3749,8075.349914392769
cy60_1_cd_45_pos_4_A01_S1_comb,Mel60,T.CD8,post.treatment,Tirosh,2493,31807,2344,9607.757180425622
cy94_cd45pos_F04_S160_comb,Mel94,T.cell,post.treatment,Tirosh,2992,61807,2784,8726.965187575055
cy129PB_CD45pos_S253,Mel129pb,Macrophage,treatment.naive,New,6237,1151998,6053,11033.274013555845
cy79_p3_CD45_pos_PD1_neg_E09_S153_comb,Mel79,NK,treatment.naive,Tirosh,2331,18863,2198,9164.153471102214
cy112_CD45pos_S347,Mel112,B.cell,treatment.naive,New,4755,909463,4643,8633.426496941476
cy84_Met_CD45_pos_B04_S880_comb,Mel84,T.CD8,treatment.naive,Tirosh,2631,126153,2436,7857.513165254917
CY88CD45POS_7_C03_S219_comb,Mel88,B.cell,post.treatment,Tirosh,4974,245250,4751,11771.100459171907
CY58_1_CD45_C08_S992_comb,Mel58,T.CD8,post.treatment,Tirosh,3275,180873,3078,8405.050937763626
CY89A_Core_15_G03_S75_comb,Mel89,T.CD8,treatment.naive,Tirosh,3114,104592,2874,8455.108341836698
CY89A_CD45_POS_6_A05_S101_comb,Mel89,Macrophage,treatment.naive,Tirosh,4741,229184,4565,11752.48286179686
merck_cd45pos_PL3_S316,Mel194,T.CD4,post.treatment,New,5117,772262,4989,10139.169102845606
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_B06_S210_comb,Mel79,T.CD8,treatment.naive,Tirosh,2332,10169,2192,9724.688507467785
cy81_Bulk_CD45_neg_F05_S161_comb,Mel81,?,treatment.naive,Tirosh,4387,34204,4295,13491.747379527958
cy84_Met_CD45_pos_G05_S941_comb,Mel84,T.CD8,treatment.naive,Tirosh,3062,124999,2847,8192.357877324455
cy116_CD45pos_S309,Mel116,B.cell,treatment.naive,New,5277,556466,5088,10505.80880443191
CY94CD45POS_1_H07_S187_comb,Mel94,T.cell,post.treatment,Tirosh,6430,258564,6206,14233.880264091476
cy121.1_CD45pos_S383,Mel121.1,T.CD4,post.treatment,New,3811,680138,3616,6789.8849410723005
cy110_CD45pos_S311,Mel110,Macrophage,post.treatment,New,6327,1729702,6188,10729.568373731267
Cy74_CD45_A11_S395_comb,Mel74,T.CD8,post.treatment,Tirosh,2980,142442,2798,8496.989765735725
Merck_CD45pos_pl4_S9,Mel194,T.CD8,post.treatment,New,4793,1060342,4669,9470.759693000098
cy04.3_CD45pos_S47,Mel04.3,T.CD8,post.treatment,New,5564,311249,5441,12669.275633436024
cy58_1_CD45_pos_B02_S590_comb,Mel58,T.CD4,post.treatment,Tirosh,4104,114853,3905,9742.49271594713
cy102_CD45pos_S284,Mel102,Macrophage,post.treatment,New,5668,809176,5471,11761.770746428676
Cy71_CD45_C08_S512_comb,Mel71,T.CD8,treatment.naive,Tirosh,2380,44902,2187,7312.445653282575
MGH00478_CD45pos_2_S322,Mel478,T.CD8,treatment.naive,New,3688,548755,3515,7068.199685635721
cy04.3_CD45pos_S53,Mel04.3,T.CD8,post.treatment,New,3918,1300486,3745,6821.779391030401
cy121.1_CD45pos_S196,Mel121.1,B.cell,post.treatment,New,4575,733996,4457,7700.529243734276
Cy72_CD45_H12_S864_comb,Mel72,?,post.treatment,Tirosh,2189,1998777,2013,2595.126155787744
cy98_CD45pos_2_S307,Mel98,T.cell,post.treatment,New,5240,724929,5075,11210.36759224194
monika_A10_S98_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4764,993083,4637,8197.070786102491
cy94_cd45pos_G04_S172_comb,Mel94,B.cell,post.treatment,Tirosh,3502,62120,3293,10180.462825224502
CY75_1_CD45_CD8_3__S161_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,4076,320028,3869,8893.610296190098
cy81_Bulk_CD45_neg_E12_S156_comb,Mel81,CAF,treatment.naive,Tirosh,2865,10389,2745,9762.166539005808
cy105_CD45neg_S219,Mel105,Endo.,treatment.naive,New,6080,557531,5927,12515.308605112716
cy84_Primary_CD45_pos_C01_S409_comb,Mel84,T.CD8,treatment.naive,Tirosh,4640,135532,4411,12874.516336400466
cy103_CD45pos_S260,Mel103,B.cell,treatment.naive,New,3596,249162,3406,7142.577897495338
cy102_CD45pos_S250,Mel102,Macrophage,post.treatment,New,2626,957279,2498,7295.400297578726
CY58_1_CD45_B09_S981_comb,Mel58,T.CD8,post.treatment,Tirosh,3598,197043,3384,8670.885904943585
cy110_CD45pos_S242,Mel110,Macrophage,post.treatment,New,7359,1447618,7170,12686.697562739377
cy75_1CORE_CD45pos_S83,Mel75,T.CD8,post.treatment,New,4371,368224,4184,8811.700302585146
cy75_1B_CD45pos_S54,Mel75,T.CD8,post.treatment,New,5272,619173,5087,10033.946144736861
CY94CD45POS_1_A10_S106_comb,Mel94,B.cell,post.treatment,Tirosh,2097,30985,1935,7403.361847618479
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_F03_S255_comb,Mel79,T.CD4,treatment.naive,Tirosh,3448,31876,3255,11648.61730601272
cy105_CD45pos_S274,Mel105,T.CD8,treatment.naive,New,4108,332471,3906,8557.38652762063
CY94CD45POS_1_A06_S102_comb,Mel94,B.cell,post.treatment,Tirosh,2595,48421,2373,7616.657263375356
cy75_1CORE_CD45pos_S90,Mel75,T.cell,post.treatment,New,4299,234559,4086,9325.197099586398
cy72_CD45_pos_G02_S938_comb,Mel72,T.CD8,post.treatment,Tirosh,3778,74894,3576,11128.249050760722
cy103_CD45pos_S206,Mel103,B.cell,treatment.naive,New,4609,391983,4418,10185.565212750284
cy128_CD45pos_S152,Mel128,T.CD4,treatment.naive,New,3484,473851,3269,6038.895120728315
cy94_cd45pos_4_D11_S47_comb,Mel94,T.cell,post.treatment,Tirosh,4780,1183118,4634,7929.287365535296
cy105_CD45pos_calceinpos_S91,Mel105,B.cell,treatment.naive,New,3978,464112,3790,7750.575563878427
monika_C3_S122_comb_BCD8_3,Mel75,T.CD8,post.treatment,Tirosh,4949,772202,4817,8692.508969963612
cy116_CD45pos_S331,Mel116,T.CD8,treatment.naive,New,4027,383033,3849,8150.964427711493
cy129PB_CD45pos_S278,Mel129pb,T.CD8,treatment.naive,New,2330,16985,2267,8668.325697271273
cy72_CD45_pos_F06_S930_comb,Mel72,T.CD4,post.treatment,Tirosh,2874,41216,2638,8944.120086542036
cy53_1_CD45_pos_2_G01_S1033_comb,Mel53,T.CD4,treatment.naive,Tirosh,4267,169663,4054,9949.345071074087
cy103_CD45pos_S109,Mel103,T.cell,treatment.naive,New,4536,264293,4318,9182.298719326467
cy88_cd_45_pos_3_F07_S643_comb,Mel88,T.CD4,post.treatment,Tirosh,2803,64966,2593,8842.540095474464
cy04.3_CD45pos_S31,Mel04.3,T.CD4,post.treatment,New,3139,221797,2941,7487.012891265998
cy79_p1_CD45_pos_PD1_pos_AS_C5_R1_D10_S238_comb,Mel79,T.CD8,treatment.naive,Tirosh,3507,58604,3308,10755.944635552465
cy110_CD45pos_S308,Mel110,T.CD4,post.treatment,New,4507,375374,4296,10702.817100903374
cy129PB_CD45pos_S201,Mel129pb,T.CD8,treatment.naive,New,3182,184846,2978,6861.724353743182
cy106_CD45pos_S211,Mel106,T.CD4,post.treatment,New,3904,699107,3750,5942.357158345341
cy103_CD45pos_S249,Mel103,T.CD8,treatment.naive,New,5839,820757,5675,12008.231896591122
Cy74_CD45_E02_S434_comb,Mel74,T.CD8,post.treatment,Tirosh,2779,113412,2561,7467.598382624379
cy105_CD45pos_calceinpos_S70,Mel105,T.cell,treatment.naive,New,3363,179992,3136,7817.572771837473
cy94_cd45pos_4_E11_S59_comb,Mel94,T.CD4,post.treatment,Tirosh,5855,757770,5696,11055.185360898638
cy105_CD45neg_calceinpos_S191,Mel105,Endo.,treatment.naive,New,5465,609827,5310,10801.759966005782
Merck_CD45pos_pl4_S3,Mel194,T.CD8,post.treatment,New,4895,1104030,4763,9344.443501605718
cy79_p5_CD45_pos_PD1_pos_F12_S648_comb,Mel79,T.CD8,treatment.naive,Tirosh,2063,19580,1953,8396.805875977854
cy94_cd45pos_B10_S118_comb,Mel94,B.cell,post.treatment,Tirosh,3985,130246,3777,9408.821539001878
cy94_cd45pos_4_A02_S2_comb,Mel94,T.CD8,post.treatment,Tirosh,2146,23956,1995,7948.896208058093
cy94_cd45pos_A07_S103_comb,Mel94,B.cell,post.treatment,Tirosh,3810,184182,3587,8912.942691089587
cy80_Cd45_pos_PD1_pos_S157_G01_S157_comb,Mel80,T.CD8,treatment.naive,Tirosh,5804,107083,5579,14151.648979594345
cy75_1B_CD45pos_S80,Mel75,T.CD8,post.treatment,New,4228,356303,4085,8514.50077991829
cy129PA_CD45pos_S87,Mel129pa,T.CD8,treatment.naive,New,4269,810056,4078,8242.794620671177
CY75_1_CD45_CD8_3__S179_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,5598,558024,5417,13434.011153504274
cy105_CD45pos_calceinpos_S86,Mel105,T.CD4,treatment.naive,New,4502,345439,4328,10109.163891868473
CY89A_CD45_POS_6_G03_S171_comb,Mel89,T.cell,treatment.naive,Tirosh,3404,111836,3169,8532.135513682688
cy110_CD45pos_S269,Mel110,Macrophage,post.treatment,New,6983,1142626,6832,12690.031592812336
cy58_1_CD45_pos_D08_S620_comb,Mel58,T.CD8,post.treatment,Tirosh,3177,29315,2947,10286.900547551155
cy72_CD45_pos_C05_S893_comb,Mel72,B.cell,post.treatment,Tirosh,4086,130125,3861,9397.991366157874
cy75_1B_CORE_CD45neg_S139,Mel75,CAF,post.treatment,New,7935,671518,7747,13969.458103468614
cy53_1_CD45_pos_1_F04_S64_comb,Mel53,NK,treatment.naive,Tirosh,4466,190108,4261,10703.457921368437
cy98_CD45pos_1_S222,Mel98,T.CD8,post.treatment,New,4324,1001761,4130,7794.143376996926
CY84_PRIM_POS_ALL_6_C05_S413_comb,Mel84,Macrophage,treatment.naive,Tirosh,5617,655239,5449,11667.593831850767
merck_cd45pos_PL3_S292,Mel194,T.CD4,post.treatment,New,5254,968843,5117,10129.130753417247
CY84_PRIM_POS_ALL_8_D04_S136_comb,Mel84,Macrophage,treatment.naive,Tirosh,3799,287543,3565,7985.729310401008
cy105_CD45pos_calceinpos_S90,Mel105,T.CD4,treatment.naive,New,3880,592269,3701,7974.871515642305
CY89A_CD45_POS_6_C10_S130_comb,Mel89,Macrophage,treatment.naive,Tirosh,4254,324649,4041,9568.661382731723
CY89A_Core_15_D02_S38_comb,Mel89,B.cell,treatment.naive,Tirosh,3161,139490,2936,7678.260794742758
cy58_1_CD45_pos_A06_S582_comb,Mel58,T.CD8,post.treatment,Tirosh,3648,90977,3427,9248.803054699052
CY94CD45POS_1_A09_S105_comb,Mel94,T.CD4,post.treatment,Tirosh,2983,75125,2760,8224.413240478316
cy60_1_cd_45_pos_HC_pos_HLDAR_pos_E04_S1012_comb,Mel60,B.cell,post.treatment,Tirosh,2829,70201,2634,8637.20618284624
cy102_CD45pos_S165,Mel102,Macrophage,post.treatment,New,8969,712007,8816,17081.655697517104
cy105_CD45pos_calceinpos_S18,Mel105,T.CD8,treatment.naive,New,5201,912998,5011,11227.324720177452
cy53_1_CD45_neg_A10_S298_comb,Mel53,Endo.,treatment.naive,Tirosh,5830,757521,5631,12609.095510188637
cy79_p4_CD45_pos_PD1_pos_G05_S365_comb,Mel79,T.CD8,treatment.naive,Tirosh,3374,196514,3145,8079.353019436838
cy60_1_cd_45_pos_4_E09_S57_comb,Mel60,T.CD4,post.treatment,Tirosh,3517,122500,3294,9770.864189178246
cy80_CD45_neg_H03_S471_comb,Mel80,T.CD4,treatment.naive,Tirosh,4114,191176,3901,9586.815868874124
cy80_CD45_pos_PD1_pos_H01_S181_comb,Mel80,NK,treatment.naive,Tirosh,4881,285148,4654,11337.363501990034
CY75_1_CD45_CD8_3__S134_comb_BCD8,Mel75,T.CD8,post.treatment,Tirosh,3780,92513,3564,11029.876145948832
cy105_CD45pos_S228,Mel105,T.cell,treatment.naive,New,3859,194151,3671,8212.084661429715
CY89FNA_E07_S247_comb,Mel89,B.cell,treatment.naive,Tirosh,3248,73560,3008,8845.30796863812
cy53_1_CD45_pos_2_C06_S990_comb,Mel53,T.CD8,treatment.naive,Tirosh,4161,93741,3946,11300.661170946787
CY75_1FNA_H08_S572_comb,Mel75,T.CD8,post.treatment,Tirosh,3921,111217,3708,10872.631457073487
